          John Smith          |  Cardiology   
         Emma Johnson         |  Dermatology  
        Michael Brown         |  Orthopedics  
        Sarah Williams        |  Pediatrics   
         David Jones          |   Neurology   
         Olivia Davis         |Gastroenterology
        William Miller        | Ophthalmology 
        Sophia Wilson         | Endocrinology 
        James Anderson        | Rheumatology  
       Charlotte Taylor       |   Oncology    
         Nabraj Kripa         |     MBBS      
